time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-22 07:00:00 UTC+0000,51.52,37.23,37.23,94.07
2021-01-22 08:00:00 UTC+0000,45.42,35.29,35.29,97.76
2021-01-22 09:00:00 UTC+0000,46.95,33.01,33.01,90.69
2021-01-22 10:00:00 UTC+0000,50.06,33.38,33.38,86.97
2021-01-22 11:00:00 UTC+0000,52.08,33.69,33.69,79.25
2021-01-22 12:00:00 UTC+0000,50.69,35.34,35.34,76.64
2021-01-22 13:00:00 UTC+0000,51.36,37.11,37.11,77.14
2021-01-22 14:00:00 UTC+0000,54.49,42.52,42.52,76.98
2021-01-22 15:00:00 UTC+0000,57.31,44.67,44.67,82.0
2021-01-22 16:00:00 UTC+0000,64.48,45.63,45.63,99.5
2021-01-22 17:00:00 UTC+0000,66.77,45.05,45.05,98.02
2021-01-22 18:00:00 UTC+0000,63.89,44.91,44.91,95.01
2021-01-22 19:00:00 UTC+0000,54.93,35.59,35.59,77.2
2021-01-22 20:00:00 UTC+0000,52.91,31.96,31.96,67.18
2021-01-22 21:00:00 UTC+0000,51.79,31.81,31.81,63.19
2021-01-22 22:00:00 UTC+0000,45.82,24.09,24.09,55.42
2021-01-22 23:00:00 UTC+0000,44.61,58.41,9.1,58.41
2021-01-23 00:00:00 UTC+0000,43.39,55.65,13.92,55.65
2021-01-23 01:00:00 UTC+0000,44.38,52.16,11.08,52.16
2021-01-23 02:00:00 UTC+0000,42.31,51.18,11.51,51.18
2021-01-23 03:00:00 UTC+0000,38.91,49.51,16.24,49.51
2021-01-23 04:00:00 UTC+0000,41.97,48.52,28.49,48.52
2021-01-23 05:00:00 UTC+0000,42.4,48.74,32.23,48.74
2021-01-23 06:00:00 UTC+0000,45.88,51.43,37.66,51.43
2021-01-23 07:00:00 UTC+0000,50.0,61.16,51.52,61.16
2021-01-23 08:00:00 UTC+0000,56.92,64.75,45.42,64.75
2021-01-23 09:00:00 UTC+0000,58.15,63.77,46.95,63.77
2021-01-23 10:00:00 UTC+0000,58.95,62.13,50.06,62.13
2021-01-23 11:00:00 UTC+0000,56.63,55.01,52.08,55.01
2021-01-23 12:00:00 UTC+0000,52.0,50.66,50.69,50.66
2021-01-23 13:00:00 UTC+0000,51.0,49.48,51.36,49.48
2021-01-23 14:00:00 UTC+0000,53.65,50.65,54.49,50.65
2021-01-23 15:00:00 UTC+0000,58.3,57.7,57.31,57.7
2021-01-23 16:00:00 UTC+0000,63.09,65.01,64.48,65.01
