time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-22 03:00:00 UTC+0000,6.6175,4.695,19.5,2.7475
2021-02-22 07:00:00 UTC+0000,2.345,1.1125,5.13,0.9175
2021-02-22 11:00:00 UTC+0000,2.9775,1.25,5.87,1.92
2021-02-22 15:00:00 UTC+0000,0.8775,1.21,1.53,0.85
2021-02-22 19:00:00 UTC+0000,1.5575,1.875,2.78,1.145
2021-02-22 23:00:00 UTC+0000,8.5,13.75,13.75,4.775
2021-02-23 03:00:00 UTC+0000,4.3,6.6175,6.6175,2.06
2021-02-23 07:00:00 UTC+0000,1.6875,2.345,2.345,0.75
2021-02-23 11:00:00 UTC+0000,2.585,2.9775,2.9775,1.2525
2021-02-23 15:00:00 UTC+0000,0.7175,0.8775,0.8775,0.775
2021-02-23 19:00:00 UTC+0000,1.415,1.5575,1.5575,1.52
2021-02-23 23:00:00 UTC+0000,7.79,8.5,8.5,8.51
2021-02-24 03:00:00 UTC+0000,4.3,4.3,4.3,6.5975
2021-02-24 07:00:00 UTC+0000,2.36,1.6875,1.6875,1.7
2021-02-24 11:00:00 UTC+0000,8.78,2.585,2.585,1.5
2021-02-24 15:00:00 UTC+0000,0.955,0.7175,0.7175,1.75
2021-02-24 19:00:00 UTC+0000,1.51,1.415,1.415,1.3675
2021-02-24 23:00:00 UTC+0000,9.4275,7.79,7.79,6.985
2021-02-25 03:00:00 UTC+0000,4.3175,4.3,4.3,4.1325
2021-02-25 07:00:00 UTC+0000,1.6525,2.36,2.36,1.25
2021-02-25 11:00:00 UTC+0000,5.25,8.78,8.78,1.5
2021-02-25 15:00:00 UTC+0000,0.75,0.955,0.955,1.5125
2021-02-25 19:00:00 UTC+0000,1.25,1.51,1.51,3.4825
2021-02-25 23:00:00 UTC+0000,6.7525,9.4275,9.4275,9.5525
2021-02-26 03:00:00 UTC+0000,3.4825,4.3175,4.3175,4.695
